
B a
笑 -5.457108882402625D
笔 -11.937153444329278D
符 -10.838541155661169D
第 -9.634568351335233D
筆 -11.937153444329278D
等 -7.688658202279919D
筑 -6.953546822620941D
答 -8.326235531685054D
策 -7.732460824938312D
筹 -8.941421170775287D
签 -9.372204086867741D
算 -6.722217686720292D
管 -8.005327811604952D
箭 -6.727667291487857D
節 -7.646694003180887D
範 -9.634568351335233D
篇 -10.838541155661169D
築 -6.953546822620941D
簽 -9.372204086867741D
簾 -8.47141754152955D
籌 -8.941421170775287D
米 -10.145393975101223D
类 -7.778270360969606D
粉 -8.892631006605855D
粗 -8.801659228400128D
粥 -10.838541155661169D
粼 -9.991243295273964D
精 -8.22358137762497D
糊 -8.04533314621865D
系 -5.435863773788888D
糾 -9.372204086867741D
紀 -9.857711902649442D
約 -8.846110990970962D
紅 -5.983910110041494D
紐 -6.464882770657804D
紙 -10.838541155661169D
級 -5.5302734582599635D
素 -5.989118455148632D
索 -8.801659228400128D
紧 -6.399819177310741D
累 -7.077341039967606D
細 -11.937153444329278D
紳 -9.103940100273062D
終 -8.410792919713117D
結 -8.941421170775287D
絕 -7.002679511198586D
絞 -9.103940100273062D
絡 -9.739928866993058D
統 -5.270196651900071D
絲 -9.372204086867741D
綁 -7.911801753594129D
經 -5.843583674284142D
綠 -9.857711902649442D
維 -5.691046678847715D
網 -11.244006263769332D
綸 -10.838541155661169D
綿 -8.846110990970962D
緊 -6.399819177310741D
緒 -10.145393975101223D
線 -6.203812167431533D
緣 -9.539258171530907D
縈 -10.327715531895178D
縣 -10.550859083209387D
縫 -8.759099613981332D
縮 -7.255022217205058D
總 -9.452246794541278D
績 -8.641316578324949D
繁 -9.103940100273062D
織 -6.604434651063909D
繞 -11.244006263769332D
繩 -9.103940100273062D
繭 -10.327715531895178D
繳 -11.244006263769332D
繼 -11.244006263769332D
續 -8.759099613981332D
纜 -9.991243295273964D
纠 -9.372204086867741D
红 -5.983910110041494D
约 -8.846110990970962D
级 -5.5302734582599635D
纪 -9.857711902649442D
纶 -10.838541155661169D
纸 -10.838541155661169D
纽 -6.464882770657804D
线 -6.203812167431533D
绅 -9.103940100273062D
细 -11.937153444329278D
织 -6.604434651063909D
终 -8.410792919713117D
经 -5.843583674284142D
绑 -7.911801753594129D
结 -8.941421170775287D
绕 -11.244006263769332D
络 -9.739928866993058D
绝 -7.002679511198586D
绞 -9.103940100273062D
统 -5.270196651900071D
继 -11.244006263769332D
绩 -8.641316578324949D
绪 -10.145393975101223D
续 -8.759099613981332D
绳 -9.103940100273062D
维 -5.691046678847715D
绵 -8.846110990970962D
绿 -9.857711902649442D
缆 -9.991243295273964D
缘 -9.539258171530907D
缝 -8.759099613981332D
缩 -7.255022217205058D
缴 -11.244006263769332D
缺 -7.200954995934782D
罐 -9.298096114714019D
网 -11.244006263769332D
罗 -11.937153444329278D
罩 -9.164564722089496D
罪 -8.108512047840183D
署 -9.372204086867741D
罵 -9.452246794541278D
羁 -10.145393975101223D
羅 -11.937153444329278D
羈 -10.145393975101223D
羊 -7.245805562100134D
美 -9.739928866993058D
群 -8.248273990215342D
義 -5.161787353392887D
翠 -11.244006263769332D
翩 -8.941421170775287D
老 -9.229103243227067D
考 -6.967340144753277D
者 -10.550859083209387D
耐 -11.937153444329278D
耗 -9.229103243227067D
耳 -7.51831283653268D
耻 -9.103940100273062D
职 -8.440645882862798D
联 -9.991243295273964D
聞 -8.535956062667122D
聯 -9.991243295273964D
聲 -7.506336645485964D
職 -8.440645882862798D
肉 -8.641316578324949D
肌 -10.550859083209387D
肖 -8.846110990970962D
肚 -11.937153444329278D
肝 -9.739928866993058D
肠 -8.152963810411016D
股 -9.298096114714019D
肥 -11.937153444329278D
肩 -8.569857614342803D
肱 -11.244006263769332D
育 -4.881840600989526D
肺 -7.794018717937745D
肿 -8.087005842619218D
胀 -4.775531441390091D
背 -8.299567284602892D
胎 -8.130490954558958D
胜 -8.005327811604952D
胞 -7.200954995934782D
胶 -9.539258171530907D
胸 -8.892631006605855D
能 -7.732460824938312D
脂 -8.152963810411016D
脈 -7.292762545187905D
脉 -7.292762545187905D
脑 -6.849557109096894D
脚 -7.227623243016944D
脫 -9.991243295273964D
脱 -9.991243295273964D
脸 -6.913272923483001D
脹 -4.775531441390091D
腐 -9.452246794541278D
腑 -11.937153444329278D
腔 -9.857711902649442D
腕 -9.857711902649442D
腦 -6.849557109096894D
腫 -8.087005842619218D
腰 -8.353634505873169D
腳 -7.227623243016944D
腸 -8.152963810411016D
腺 -7.674473567287962D
腾 -9.991243295273964D
腿 -9.046781686433114D
膀 -11.937153444329278D
膊 -11.937153444329278D
膏 -9.857711902649442D
膝 -11.937153444329278D
膠 -9.539258171530907D
臂 -9.372204086867741D
臉 -6.913272923483001D
臣 -10.327715531895178D
臥 -9.739928866993058D
臨 -11.937153444329278D
至 -8.22358137762497D
致 -8.718277619461077D
興 -6.09651178695588D
舉 -7.810019059284186D
舊 -8.846110990970962D
舌 -7.794018717937745D
舍 -9.991243295273964D
舛 -9.372204086867741D
舞 -7.646694003180887D
般 -6.9332071383838185D
船 -7.580444617639686D
良 -9.991243295273964D
艰 -8.087005842619218D
艱 -8.087005842619218D
色 -6.0128976469147455D
艳 -8.718277619461077D
艷 -8.718277619461077D
艺 -8.759099613981332D
节 -7.646694003180887D
芒 -11.244006263769332D
芦 -8.992714465162837D
花 -10.838541155661169D
芳 -11.244006263769332D
苒 -11.244006263769332D
若 -11.937153444329278D
苦 -7.876710433782859D
茂 -8.892631006605855D
范 -9.634568351335233D
茧 -10.327715531895178D
茫 -9.229103243227067D
茶 -9.991243295273964D
草 -7.966861530777156D
荒 -10.838541155661169D
荡 -8.992714465162837D
荣 -8.604948934154073D
荫 -9.634568351335233D
药 -8.22358137762497D
荷 -11.937153444329278D
莊 -11.244006263769332D
菌 -7.352185965658706D
菜 -9.991243295273964D
華 -8.846110990970962D
营 -7.362442465825895D
萦 -10.327715531895178D
萬 -10.550859083209387D
落 -6.423724698164295D
葉 -9.539258171530907D
著 -5.307790190891829D
葱 -9.991243295273964D
蒂 -10.327715531895178D
蒙 -10.327715531895178D
蓋 -8.941421170775287D
蓝 -11.937153444329278D
蓿 -10.145393975101223D
蔥 -9.991243295273964D
蔭 -9.634568351335233D
蔽 -10.838541155661169D
薄 -8.992714465162837D
薪 -11.937153444329278D
藉 -9.103940100273062D
藍 -11.937153444329278D
藏 -8.503166239844132D
藝 -8.759099613981332D
藥 -8.22358137762497D
蘆 -8.992714465162837D
蘖 -10.838541155661169D
蘗 -10.838541155661169D
虎 -8.718277619461077D
虑 -10.327715531895178D
處 -6.190950253789125D
虚 -10.327715531895178D
虛 -10.327715531895178D
號 -9.229103243227067D
虧 -7.619665330792968D
虫 -11.244006263769332D
蚁 -8.535956062667122D
蛇 -10.550859083209387D
蜂 -9.229103243227067D
蜡 -10.838541155661169D
蝉 -10.327715531895178D
蟬 -10.327715531895178D
蟲 -11.244006263769332D
蟻 -8.535956062667122D
蠟 -10.838541155661169D
血 -8.22358137762497D
行 -6.6692952852659495D
術 -6.2881792061680715D
衛 -8.992714465162837D
衡 -9.857711902649442D
表 -7.273714350217211D
衰 -7.948169397765003D
袅 -9.739928866993058D
袋 -9.739928866993058D
装 -7.506336645485964D
裊 -9.739928866993058D
裝 -7.506336645485964D
裡 -6.633848536270202D
裹 -9.991243295273964D
褛 -8.992714465162837D
褸 -8.992714465162837D
襟 -11.244006263769332D
西 -9.452246794541278D
要 -5.810284260215093D
見 -6.260399642060996D
規 -9.739928866993058D
覓 -9.739928866993058D
視 -6.213568342376897D
親 -8.410792919713117D
覺 -7.5933480224755945D
觀 -6.141095693563906D
见 -6.260399642060996D
观 -6.141095693563906D
规 -9.739928866993058D
觅 -9.739928866993058D
视 -6.213568342376897D
觉 -7.5933480224755945D
角 -8.604948934154073D
解 -6.004908256881267D
触 -8.299567284602892D
觸 -8.299567284602892D
言 -6.281161633509425D
計 -6.316752578612128D
訖 -11.937153444329278D
訟 -7.826279580155966D
設 -6.538990742811525D
評 -9.164564722089496D
詞 -8.641316578324949D
詩 -8.22358137762497D
話 -4.927744511620641D
誅 -11.937153444329278D
誇 -11.244006263769332D
誉 -8.569857614342803D
認 -9.164564722089496D
語 -7.0619561211281265D
誠 -11.244006263769332D
誤 -9.634568351335233D
誨 -10.838541155661169D
說 -3.640606924028663D
調 -7.158029951217749D
談 -8.718277619461077D
諉 -9.452246794541278D
論 -6.83728701650508D
諫 -8.679056906307796D
諱 -8.941421170775287D
諾 -8.326235531685054D
謀 -8.992714465162837D
謂 -6.716797619250953D
講 -8.992714465162837D
謝 -10.327715531895178D
識 -7.1664688198636135D
譜 -7.778270360969606D
譯 -10.145393975101223D
議 -6.561875036645113D
譽 -8.569857614342803D
讀 -9.103940100273062D
變 -7.046804316107524D
讓 -7.842808882107177D
计 -6.316752578612128D
认 -9.164564722089496D
让 -7.842808882107177D
讫 -11.937153444329278D
议 -6.561875036645113D
讲 -8.992714465162837D
讳 -8.941421170775287D
论 -6.83728701650508D
讼 -7.826279580155966D
设 -6.538990742811525D
评 -9.164564722089496D
识 -7.1664688198636135D
词 -8.641316578324949D
译 -10.145393975101223D
诗 -8.22358137762497D
诚 -11.244006263769332D
诛 -11.937153444329278D
话 -4.927744511620641D
语 -7.0619561211281265D
误 -9.634568351335233D
诲 -10.838541155661169D
说 -3.640606924028663D
诺 -8.326235531685054D
读 -9.103940100273062D
诿 -9.452246794541278D
调 -7.158029951217749D
谈 -8.718277619461077D
谋 -8.992714465162837D
谏 -8.679056906307796D
谓 -6.716797619250953D
谢 -10.327715531895178D
谱 -7.778270360969606D
豆 -11.937153444329278D
豐 -9.991243295273964D
象 -6.619033450485062D
豪 -8.892631006605855D
豫 -6.755369894037193D
豹 -10.838541155661169D
貌 -9.857711902649442D
負 -8.440645882862798D
財 -7.717645739153171D
貧 -8.846110990970962D
責 -7.703046939732019D
貴 -8.175953328635716D
貶 -10.838541155661169D
買 -9.857711902649442D
費 -10.550859083209387D
資 -6.1320184754127895D
賈 -9.046781686433114D
賑 -9.634568351335233D
賓 -11.244006263769332D
賞 -8.992714465162837D
賢 -9.164564722089496D
賣 -8.152963810411016D
賤 -9.452246794541278D
賦 -8.941421170775287D
質 -6.090714669271554D
賬 -8.22358137762497D
賭 -8.892631006605855D
賴 -9.539258171530907D
賺 -11.937153444329278D
贊 -8.892631006605855D
负 -8.440645882862798D
财 -7.717645739153171D
责 -7.703046939732019D
贤 -9.164564722089496D
败 -9.103940100273062D
账 -8.22358137762497D
质 -6.090714669271554D
贫 -8.846110990970962D
贬 -10.838541155661169D
贱 -9.452246794541278D
贵 -8.175953328635716D
费 -10.550859083209387D
贾 -9.046781686433114D
资 -6.1320184754127895D
赈 -9.634568351335233D
赋 -8.941421170775287D
赌 -8.892631006605855D
赏 -8.992714465162837D
赖 -9.539258171530907D
赚 -11.937153444329278D
赞 -8.892631006605855D
赦 -11.937153444329278D
赫 -8.941421170775287D
走 -7.660487325313222D
赶 -9.452246794541278D
起 -6.594819192364467D
趕 -9.452246794541278D
趣 -8.604948934154073D
足 -9.046781686433114D
跃 -8.941421170775287D
跑 -9.739928866993058D
跚 -8.992714465162837D
跡 -11.244006263769332D
路 -5.88741998909732D
跳 -7.660487325313222D
践 -8.846110990970962D
踐 -8.846110990970962D
蹄 -9.739928866993058D
躁 -9.857711902649442D
躍 -8.941421170775287D
身 -8.273591798199632D
躯 -8.22358137762497D
躲 -10.550859083209387D
軀 -8.22358137762497D
車 -6.590045913611809D
軍 -8.941421170775287D
輕 -10.145393975101223D
輝 -10.550859083209387D
輟 -10.327715531895178D
輩 -8.299567284602892D
輯 -7.393858662059274D
輸 -9.739928866993058D
轆 -8.641316578324949D
轉 -8.065952433421387D
轍 -10.838541155661169D
轎 -9.539258171530907D
车 -6.590045913611809D
转 -8.065952433421387D
轻 -10.145393975101223D
轿 -9.539258171530907D
辈 -8.299567284602892D
辉 -10.550859083209387D
辍 -10.327715531895178D
辑 -7.393858662059274D
输 -9.739928866993058D
辘 -8.641316578324949D
辙 -10.838541155661169D
辜 -8.846110990970962D
辞 -9.164564722089496D
辣 -9.164564722089496D
辦 -11.244006263769332D
辨 -8.846110990970962D
辩 -8.801659228400128D
辭 -9.164564722089496D
辯 -8.801659228400128D
辱 -9.739928866993058D
農 -8.941421170775287D
边 -8.941421170775287D
达 -7.842808882107177D
过 -6.129010954348834D
迎 -8.569857614342803D
运 -9.298096114714019D
近 -11.244006263769332D
返 -7.876710433782859D
还 -11.244006263769332D
进 -6.452356510838623D
远 -7.108839707026977D
连 -9.634568351335233D
迟 -7.141362898732536D
迢 -10.838541155661169D
迩 -9.103940100273062D
迭 -9.991243295273964D
述 -8.04533314621865D
迹 -11.244006263769332D
追 -11.244006263769332D
退 -7.383276552728737D
适 -11.937153444329278D
逃 -10.327715531895178D
透 -9.298096114714019D
递 -9.298096114714019D
通 -6.561875036645113D
逝 -8.992714465162837D
造 -7.703046939732019D
連 -9.634568351335233D
進 -6.452356510838623D
遂 -8.679056906307796D
遇 -7.383276552728737D
遊 -8.641316578324949D
運 -9.298096114714019D
遍 -10.550859083209387D
過 -6.129010954348834D
遒 -11.937153444329278D
道 -5.489847581788065D
達 -7.842808882107177D
遙 -9.229103243227067D
遞 -9.298096114714019D
遠 -7.108839707026977D
遥 -9.229103243227067D
適 -11.937153444329278D
遮 -9.164564722089496D
遲 -7.141362898732536D
還 -11.244006263769332D
邇 -9.103940100273062D
邊 -8.941421170775287D
邻 -9.634568351335233D
郎 -9.452246794541278D
鄉 -7.426293937812428D
鄰 -9.634568351335233D
酉 -9.857711902649442D
配 -7.859616000423559D
酒 -9.298096114714019D
酬 -8.19948382604591D
酯 -10.838541155661169D
酶 -8.273591798199632D
酸 -9.046781686433114D
醉 -8.801659228400128D
醒 -7.619665330792968D
醫 -8.440645882862798D
采 -11.244006263769332D
里 -6.633848536270202D
重 -6.431821908396915D
野 -8.992714465162837D
量 -5.653019283258476D
金 -6.020951381721843D
釘 -9.452246794541278D
針 -10.838541155661169D
鈴 -11.937153444329278D
鉤 -11.244006263769332D
銀 -10.838541155661169D
銷 -8.381805382839865D
鋒 -9.739928866993058D
錚 -9.634568351335233D
錢 -9.298096114714019D
錦 -10.838541155661169D
錯 -10.838541155661169D
鍋 -9.372204086867741D
鏡 -7.674473567287962D
鐘 -7.826279580155966D
鐵 -8.503166239844132D
鑽 -10.550859083209387D
鑿 -8.992714465162837D
针 -10.838541155661169D
钉 -9.452246794541278D
钟 -7.826279580155966D
钩 -11.244006263769332D
钱 -9.298096114714019D
钻 -10.550859083209387D
铁 -8.503166239844132D
铃 -11.937153444329278D
铮 -9.634568351335233D
银 -10.838541155661169D
销 -8.381805382839865D
锅 -9.372204086867741D
锋 -9.739928866993058D
错 -10.838541155661169D
锦 -10.838541155661169D
镜 -7.674473567287962D
長 -7.218654573034184D
长 -7.218654573034184D
門 -7.1922213159660275D
閃 -7.966861530777156D
開 -7.448517074597138D
間 -6.346166463818421D
閣 -8.326235531685054D
閥 -6.8013550072790165D
關 -6.324025337941207D
门 -7.1922213159660275D
闪 -7.966861530777156D
问 -5.761286174223517D
间 -6.346166463818421D
闹 -8.087005842619218D
闻 -8.535956062667122D
阀 -6.8013550072790165D
阁 -8.326235531685054D
队 -8.604948934154073D
防 -11.244006263769332D
阳 -9.164564722089496D
阴 -8.604948934154073D
阵 -8.410792919713117D
阻 -9.452246794541278D
际 -5.565541597097422D
陆 -8.718277619461077D
陈 -8.679056906307796D
降 -9.539258171530907D
限 -11.937153444329278D
院 -5.4091955267067275D
陣 -8.410792919713117D
险 -7.0619561211281265D
陪 -10.838541155661169D
陰 -8.604948934154073D
陳 -8.679056906307796D
陸 -8.718277619461077D
陽 -9.164564722089496D
隅 -10.327715531895178D
隆 -9.634568351335233D
隊 -8.604948934154073D
随 -11.937153444329278D
隔 -9.634568351335233D
隙 -11.937153444329278D
際 -5.565541597097422D
隨 -11.937153444329278D
險 -7.0619561211281265D
难 -6.9604197019087035D
雀 -11.244006263769332D
雄 -9.046781686433114D
雅 -10.550859083209387D
雜 -9.991243295273964D
離 -8.941421170775287D
難 -6.9604197019087035D
雨 -6.913272923483001D
雪 -7.283193094171755D
雲 -7.717645739153171D
雷 -9.372204086867741D
電 -6.664153885765531D
雾 -9.739928866993058D
需 -8.992714465162837D
震 -9.046781686433114D
霉 -9.539258171530907D
霞 -10.838541155661169D
霧 -9.739928866993058D
露 -10.327715531895178D
霸 -10.550859083209387D
靈 -9.634568351335233D
青 -9.103940100273062D
静 -7.762766174433641D
靜 -7.762766174433641D
非 -8.025130438901131D
面 -5.896898733051864D
革 -6.619033450485062D
鞋 -9.857711902649442D
鞘 -10.838541155661169D
鞭 -11.244006263769332D
音 -9.991243295273964D
響 -6.638836077781241D
頂 -10.327715531895178D
頃 -9.539258171530907D
頌 -10.838541155661169D
頓 -7.985909725747851D
頗 -11.244006263769332D
領 -9.103940100273062D
頤 -9.298096114714019D
頭 -6.181411230742365D
題 -7.322032927488018D
顏 -11.937153444329278D
願 -8.992714465162837D
顛 -10.550859083209387D
類 -7.778270360969606D
顧 -8.299567284602892D
顫 -11.937153444329278D
顶 -10.327715531895178D
顷 -9.539258171530907D
顾 -8.299567284602892D
顿 -7.985909725747851D
颂 -10.838541155661169D
领 -9.103940100273062D
颇 -11.244006263769332D
颐 -9.298096114714019D
题 -7.322032927488018D
颜 -11.937153444329278D
颠 -10.550859083209387D
颤 -11.937153444329278D
風 -6.240059957823873D
风 -6.240059957823873D
飛 -8.604948934154073D
飞 -8.604948934154073D
食 -8.604948934154073D
飢 -11.244006263769332D
飯 -7.51831283653268D
飽 -9.739928866993058D
養 -10.550859083209387D
餐 -8.353634505873169D
餘 -8.535956062667122D
饥 -11.244006263769332D
饭 -7.51831283653268D
饱 -9.739928866993058D
首 -9.229103243227067D
香 -10.327715531895178D
馨 -11.937153444329278D
馬 -6.88090763898097D
駁 -8.801659228400128D
騖 -10.145393975101223D
騙 -10.145393975101223D
騰 -9.991243295273964D
騷 -11.244006263769332D
驗 -9.739928866993058D
驚 -7.688658202279919D
驟 -7.703046939732019D
驢 -10.838541155661169D
马 -6.88090763898097D
驳 -8.801659228400128D
驴 -10.838541155661169D
骂 -9.452246794541278D
验 -9.739928866993058D
骗 -10.145393975101223D
骚 -11.244006263769332D
骛 -10.145393975101223D
骤 -7.703046939732019D
骨 -8.326235531685054D
體 -5.9185602298330435D
高 -7.51831283653268D
鬥 -8.503166239844132D
鬧 -8.087005842619218D
鬼 -8.718277619461077D
魂 -10.327715531895178D
魄 -9.452246794541278D
魅 -10.838541155661169D
魏 -11.244006263769332D
魔 -9.539258171530907D
魚 -7.985909725747851D
鮮 -9.634568351335233D
鱼 -7.985909725747851D
鲜 -9.634568351335233D
鳥 -9.452246794541278D
鳴 -8.326235531685054D
鸟 -9.452246794541278D
鸣 -8.326235531685054D
鹼 -8.087005842619218D
鹿 -10.145393975101223D
麻 -8.175953328635716D
麼 -4.749496280214323D
黑 -8.175953328635716D
點 -7.5427042896568395D
黴 -9.539258171530907D
鼎 -8.065952433421387D
鼓 -7.929820259096807D
鼠 -10.145393975101223D
鼻 -9.452246794541278D
齊 -11.244006263769332D
齐 -11.244006263769332D
齒 -8.353634505873169D
齿 -8.353634505873169D
龍 -10.327715531895178D
龙 -10.327715531895178D

E ln
权 0.0D
權 0.0D

E m
一 -4.481580208618347D
七 -6.8353220013054585D
万 -4.753687743434612D
丈 -6.916584965384224D
三 -4.8479155206863D
下 -4.51619161288554D
丑 -9.477310451729576D
世 -10.676727439519652D
丛 -10.823330913711526D
丝 -6.8431574968294075D
两 -5.852056693495851D
个 -1.8640125315775313D
串 -7.649672694836619D
久 -5.52081186030979D
之 -11.20282053541643D
九 -6.926154416400375D
乡 -8.680173557645583D
二 -4.928638140331858D
五 -6.065665552826918D
些 -3.7626286866153396D
亥 -10.302033990078241D
亩 -6.70215652928025D
亿 -6.204050224463601D
代 -5.883569959201928D
仨 -13.767769892877967D
件 -5.1631154256917355D
任 -7.6365434033948265D
份 -5.50676010685414D
伊 -12.381475531758078D
伍 -11.976010423649912D
伏 -9.34892928508137D
伙 -7.8093451998481855D
会 -7.180219878053171D
位 -4.2428377831431465D
余 -6.150502079249621D
佰 -13.074622712318021D
例 -8.024766705068485D
俩 -12.158331980443867D
倆 -12.158331980443867D
個 -1.8640125315775313D
倍 -5.9614806036109345D
億 -6.204050224463601D
儿 -5.611259666798001D
元 -2.923786919770867D
兆 -11.688328351198132D
克 -6.335877976070167D
兒 -5.611259666798001D
兜 -11.282863243089967D
兩 -5.852056693495851D
八 -6.400692832996955D
六 -6.318853790333766D
具 -7.347774964730825D
冊 -8.222592448398405D
册 -8.222592448398405D
几 -8.27470844953742D
出 -6.68103195836739D
刀 -7.387647355978202D
分 -4.318806398739189D
列 -5.4789840824510385D
则 -7.2500986199656925D
刻 -6.129571648592188D
則 -7.2500986199656925D
副 -6.340031052345074D
勺 -9.519274650828608D
包 -7.773808465571398D
匹 -6.648134254860331D
十 -5.618746024826197D
千 -5.929426577320851D
卅 -10.676727439519652D
升 -8.14014877918733D
午 -9.213893001277427D
半 -5.5576454877137005D
卯 -10.241409368261806D
卷 -5.737685798610404D
叁 -13.767769892877967D
双 -6.132949215132425D
发 -7.669695610711727D
叠 -7.90130183594467D
叢 -10.823330913711526D
口 -5.517410941400673D
句 -4.721243406139999D
只 -4.41940822300441D
台 -6.485696234784503D
右 -4.412723299902526D
叶 -7.977809721980714D
号 -6.921890017613918D
司 -9.742418202142819D
名 -4.8291070192118495D
吨 -5.015662694548604D
员 -6.802689547276561D
周 -5.631251640762676D
味 -8.574813041987756D
品 -6.572582572699258D
响 -8.14014877918733D
員 -6.802689547276561D
噸 -5.015662694548604D
四 -5.434499539622658D
回 -5.663973179896175D
团 -6.992403801941576D
圈 -6.6061478899387795D
團 -6.992403801941576D
场 -5.573816869314225D
块 -5.280623622814026D
垧 -13.074622712318021D
堂 -8.840516207720762D
堆 -7.304740435957298D
場 -5.573816869314225D
堵 -8.74388937203169D
塊 -5.280623622814026D
壁 -9.213893001277427D
士 -8.347234893605682D
声 -4.7320210316338285D
壹 -12.669157604209857D
处 -5.724427722436359D
多 -3.52264489497984D
夜 -6.263378333716728D
夥 -7.8093451998481855D
天 -3.9184217864424875D
头 -5.975008172061441D
套 -5.816210561722715D
姚 -12.158331980443867D
子 -5.438594450800565D
季 -6.277240490817255D
安 -10.934556548821751D
宗 -5.991234864692727D
家 -4.398461889806139D
寅 -10.509673354856485D
寸 -7.1899085351569205D
对 -5.763738385025269D
封 -6.7107329111800755D
尊 -7.873367058613116D
對 -5.763738385025269D
少 -4.987136093382984D
尺 -6.773836917654778D
尾 -8.78416327116963D
局 -8.643805913474708D
层 -5.595605440766064D
屆 -5.34885127073007D
届 -5.34885127073007D
層 -5.595605440766064D
岁 -5.272413396070904D
峰 -8.369607191360215D
巳 -10.723247455154544D
帐 -10.877398134981803D
帖 -9.939128496388872D
帧 -10.632275676948817D
席 -8.20708826186244D
帮 -8.303938087852357D
帳 -10.877398134981803D
幀 -10.632275676948817D
幅 -6.9155273238260895D
幕 -7.57745448702482D
幢 -8.378698163061467D
幫 -8.303938087852357D
干 -6.43083297917035D
年 -2.8656745659784706D
幹 -6.43083297917035D
幾 -8.27470844953742D
床 -8.94748832727293D
度 -6.413407562456491D
座 -5.355270772576396D
廿 -13.074622712318021D
开 -7.608674504386034D
张 -5.423027138460421D
張 -5.423027138460421D
微 -10.934556548821751D
戈 -13.074622712318021D
戌 -10.212421831388554D
成 -5.984962630038273D
截 -8.034428615980222D
戶 -6.2319394300796D
户 -6.2319394300796D
所 -6.678526737850453D
扇 -7.778808475988104D
手 -6.282278284847212D
打 -8.143752386690629D
批 -5.008415144311758D
把 -5.444889871108063D
折 -7.9994488970841955D
抹 -8.680173557645583D
担 -8.347234893605682D
拉 -10.995181170638187D
招 -8.278832166721282D
拳 -8.129415223544221D
捆 -8.923582806419375D
捌 -13.767769892877967D
排 -7.176096160869309D
摊 -8.791036150457392D
摞 -9.411061066188376D
撇 -9.423964471024284D
撮 -10.05419782617366D
擔 -8.347234893605682D
攤 -8.791036150457392D
支 -5.515063216310322D
数 -4.413329176928028D
整 -9.896568881970076D
數 -4.413329176928028D
文 -7.39786891004974D
斗 -8.20708826186244D
斤 -6.021036985124345D
方 -5.909902333546165D
日 -4.998884566743104D
旬 -9.423964471024284D
时 -8.188040066891745D
星 -11.570545315541748D
時 -8.188040066891745D
晌 -7.229630069110297D
曲 -8.008868119000686D
會 -7.180219878053171D
月 -5.486805492324595D
服 -9.094941058416062D
朗 -10.435565382702764D
期 -6.58998747668277D
未 -10.877398134981803D
本 -6.755654598571588D
朵 -7.416884176163228D
机 -11.688328351198132D
杆 -8.649776080461212D
束 -8.21094183117843D
条 -4.4097856789892225D
杯 -6.3677603757152745D
枚 -6.984444692274007D
枝 -7.5372884452994855D
枪 -7.2861927636015364D
架 -6.638472343948594D
柒 -13.767769892877967D
柱 -9.00559595808021D
栋 -8.510274520850185D
株 -7.510102304995328D
样 -6.417253721043969D
根 -5.83289832693279D
框 -11.821859743822655D
案 -8.16196782658197D
桌 -8.19942538911687D
档 -8.614478298380188D
桩 -8.108287677118346D
桶 -7.27856496155265D
桿 -8.649776080461212D
條 -4.4097856789892225D
棟 -8.510274520850185D
棵 -7.030802934876112D
槍 -7.2861927636015364D
樁 -8.108287677118346D
樣 -6.417253721043969D
機 -11.688328351198132D
檔 -8.614478298380188D
次 -3.299622153947443D
款 -6.5503264611814345D
歌 -8.840516207720762D
步 -5.102846589437394D
歲 -5.272413396070904D
段 -5.325947008486507D
毫 -7.034368001040608D
汪 -10.184250954421858D
沓 -9.267960222547702D
派 -7.647472473927017D
溜 -8.626106336375308D
滴 -7.927128235504569D
点 -4.291686355968758D
片 -5.244793456706002D
特 -12.158331980443867D
玖 -13.767769892877967D
班 -7.571325765083447D
瓢 -9.373320738205528D
瓦 -6.543745084592136D
瓶 -7.617167124431687D
生 -7.977809721980714D
申 -9.896568881970076D
畝 -6.70215652928025D
番 -6.139252266302911D
疊 -7.90130183594467D
發 -7.669695610711727D
百 -5.957011776348611D
盆 -8.25031699641326D
盏 -7.40819602420559D
盒 -8.526022877818324D
盘 -7.589825778827367D
盞 -7.40819602420559D
盤 -7.589825778827367D
目 -7.987026377085638D
盾 -12.158331980443867D
眼 -5.500577706945823D
着 -7.90413871727987D
碗 -6.698746466299708D
磅 -9.411061066188376D
票 -8.680173557645583D
种 -3.3090188671452805D
秒 -8.122322995234729D
程 -8.711524087529659D
種 -3.3090188671452805D
站 -7.703984684190359D
章 -5.758739207808237D
端 -7.887236906477267D
笔 -6.65707376989914D
第 -10.400474062891494D
筆 -6.65707376989914D
等 -6.940140658375115D
筐 -9.760436707645496D
箱 -8.724344775958722D
節 -7.142377524870011D
篇 -6.373891602770211D
篓 -10.676727439519652D
簇 -10.823330913711526D
簍 -10.676727439519652D
米 -4.051696844201803D
类 -5.731196483170654D
粒 -7.751612733179614D
紙 -8.303938087852357D
級 -6.901878817994529D
索 -11.059719691775758D
組 -6.9229544136697045D
絲 -6.8431574968294075D
維 -6.91870361024451D
線 -6.982182247870038D
縷 -8.169347933879592D
级 -6.901878817994529D
纸 -8.303938087852357D
线 -6.982182247870038D
组 -6.9229544136697045D
维 -6.91870361024451D
缕 -8.169347933879592D
罐 -9.835944260153642D
群 -6.491905292331435D
羽 -10.934556548821751D
聲 -4.7320210316338285D
股 -4.493891500097797D
胎 -9.014179701771603D
脸 -7.307865438500433D
腔 -8.877420764656213D
臉 -7.307865438500433D
艘 -6.783979927619833D
节 -7.142377524870011D
芯 -11.20282053541643D
茬 -9.193058914374584D
